price,rsi,macd_histogram,volume_spike,atr_pct,ema_trend,orderbook_imbalance,liquidity_sweep,regime,session,bos,whale_dominance,delta_ratio,cluster_score,target_breakout,target_continuation,target_reversal
68766.450000,61.850000,92.548364,1.000000,0.004759,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.087600,0.000000,1.000000,1.000000,0.000000
68969.410000,64.800000,110.193797,1.000000,0.004754,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.146400,0.000000,1.000000,1.000000,0.000000
69493.130000,71.010000,148.504569,1.000000,0.005183,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.225900,0.000000,0.000000,0.000000,1.000000
69418.740000,69.140000,159.251205,1.000000,0.005184,1.000000,0.000000,-1.000000,1.000000,1.000000,0.500000,0.000000,0.142300,0.000000,0.000000,0.000000,1.000000
69316.410000,66.550000,150.011787,1.000000,0.005150,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.057000,0.000000,1.000000,1.000000,0.000000
69880.000000,72.640000,170.885395,1.000000,0.005372,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.207900,0.000000,1.000000,1.000000,0.000000
71011.400000,80.360000,245.385860,1.000000,0.006199,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.397000,0.000000,0.000000,1.000000,0.000000
71072.590000,80.680000,280.735577,1.000000,0.006314,1.000000,0.000000,-1.000000,1.000000,1.000000,0.500000,0.000000,0.461600,0.000000,1.000000,1.000000,0.000000
71310.000000,81.900000,300.299369,1.000000,0.006293,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.541300,0.000000,1.000000,1.000000,0.000000
71767.230000,84.000000,322.287238,0.000000,0.006467,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.561100,0.000000,1.000000,0.000000,1.000000
71520.760000,78.700000,298.998784,0.000000,0.006574,1.000000,0.000000,-1.000000,1.000000,1.000000,0.500000,0.000000,0.463100,0.000000,0.000000,1.000000,0.000000
71655.440000,79.460000,272.195450,0.000000,0.006547,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.486200,0.000000,0.000000,0.000000,1.000000
71526.610000,76.630000,227.157151,0.000000,0.006448,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.452200,0.000000,0.000000,0.000000,0.000000
71322.400000,72.250000,167.722200,0.000000,0.006276,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.395700,0.000000,0.000000,1.000000,1.000000
71348.920000,72.470000,116.721761,0.000000,0.006088,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.403400,0.000000,0.000000,1.000000,1.000000
71427.720000,73.150000,76.751793,0.000000,0.005886,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.443200,0.000000,0.000000,0.000000,0.000000
71225.690000,68.460000,27.693954,0.000000,0.005780,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.437100,0.000000,0.000000,0.000000,0.000000
71109.220000,65.840000,-19.091173,0.000000,0.005758,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.367400,0.000000,0.000000,1.000000,1.000000
71111.400000,65.870000,-54.383777,0.000000,0.005622,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.419500,0.000000,1.000000,0.000000,0.000000
70880.400000,60.550000,-95.380044,0.000000,0.005568,1.000000,0.000000,0.000000,1.000000,1.000000,-1.000000,0.000000,0.421300,0.000000,1.000000,0.000000,0.000000
70628.570000,55.300000,-138.914096,0.000000,0.005502,1.000000,0.000000,0.000000,1.000000,1.000000,-1.000000,0.000000,0.369100,0.000000,1.000000,1.000000,1.000000
70973.650000,60.370000,-143.346641,0.000000,0.005545,1.000000,0.000000,1.000000,1.000000,1.000000,-0.500000,0.000000,0.366800,0.000000,0.000000,1.000000,1.000000
71339.710000,64.910000,-121.373147,0.000000,0.005601,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.344700,0.000000,0.000000,0.000000,1.000000
71300.000000,64.060000,-109.619406,0.000000,0.005549,1.000000,0.000000,-1.000000,1.000000,1.000000,0.500000,0.000000,0.386800,0.000000,0.000000,1.000000,0.000000
71364.490000,64.870000,-97.987712,0.000000,0.005356,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.473200,0.000000,0.000000,1.000000,0.000000
71432.980000,65.750000,-86.563664,0.000000,0.005262,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.465900,0.000000,0.000000,1.000000,0.000000
71477.170000,66.340000,-77.222105,0.000000,0.005082,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.361900,0.000000,1.000000,1.000000,0.000000
71807.120000,70.430000,-51.262969,0.000000,0.005128,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.311500,0.000000,0.000000,0.000000,1.000000
71751.670000,68.920000,-40.727568,1.000000,0.005180,1.000000,0.000000,-1.000000,1.000000,1.000000,0.500000,0.000000,0.110400,0.000000,1.000000,0.000000,1.000000
71416.590000,60.450000,-58.164255,1.000000,0.006057,1.000000,0.000000,-1.000000,1.000000,1.000000,0.500000,0.000000,-0.194300,0.000000,0.000000,1.000000,1.000000
71621.040000,63.400000,-57.655132,0.000000,0.006109,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,-0.068400,0.000000,0.000000,1.000000,1.000000
72003.760000,68.190000,-34.416430,0.000000,0.006303,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,-0.059000,0.000000,1.000000,1.000000,0.000000
72972.150000,76.550000,39.305053,1.000000,0.006767,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.079000,0.000000,1.000000,0.000000,1.000000
72705.650000,71.020000,61.906186,1.000000,0.006819,1.000000,0.000000,-1.000000,1.000000,1.000000,0.500000,0.000000,0.020200,0.000000,1.000000,1.000000,0.000000
